Date	Price	Open	High	Low	Vol.	Change %
2016/5/16	130.52	131.03	131.11	130.48	906.70K	-0.34
2016/5/13	130.97	130.59	130.98	130.55	1.28M	0.29
2016/5/12	130.59	130.88	130.95	130.52	1.19M	-0.24
2016/5/11	130.91	130.75	131.09	130.66	1.11M	0.1
2016/5/10	130.78	130.88	130.91	130.62	992.39K	-0.02
2016/5/9	130.8	130.53	130.89	130.44	875.12K	0.21
2016/5/6	130.53	130.75	131.2	130.45	1.52M	-0.15
2016/5/5	130.73	130.5	130.88	130.25	1.19M	0.22
2016/5/4	130.44	130.31	130.55	130.16	1.12M	0.11
2016/5/3	130.3	129.64	130.47	129.64	1.32M	0.46
2016/5/2	129.7	129.92	130.16	129.62	890.23K	-0.28
2016/4/29	130.06	130.05	130.19	129.66	1.50M	0.08
2016/4/28	129.95	129.86	130.17	129.66	1.48M	0.13
2016/4/27	129.78	129.17	129.88	129.16	1.14M	0.47
2016/4/26	129.17	129.3	129.48	129.06	1.06M	-0.16
2016/4/25	129.38	129.52	129.7	129.28	943.31K	-0.07
2016/4/22	129.47	129.69	129.78	129.36	1.01M	-0.11
2016/4/21	129.61	129.81	129.91	129.45	1.40M	-0.11
2016/4/20	129.75	130.33	130.59	129.7	1.29M	-0.47
2016/4/19	130.36	130.5	130.5	130.2	1.02M	-0.11
2016/4/18	130.5	130.86	130.89	130.38	899.72K	-0.11
2016/4/15	130.64	130.3	130.73	130.2	819.01K	0.2
2016/4/14	130.38	130.61	130.7	130.2	1.08M	-0.18
2016/4/13	130.62	130.53	130.72	130.36	1.07M	0.05
2016/4/12	130.55	130.98	131.03	130.5	977.57K	-0.37
2016/4/11	131.03	131.08	131.22	130.77	806.16K	0
2016/4/8	131.03	131.23	131.27	130.84	783.76K	-0.17
2016/4/7	131.25	130.67	131.3	130.58	1.02M	0.43
2016/4/6	130.69	130.86	130.91	130.52	944.33K	-0.11
2016/4/5	130.83	130.59	130.97	130.56	996.73K	0.28
2016/4/4	130.47	130.47	130.64	130.31	739.94K	0.13
2016/4/1	130.3	130.48	130.5	130.06	1.28M	-0.07
2016/3/31	130.39	130.05	130.53	129.95	1.14M	0.28
2016/3/30	130.02	130.03	130.11	129.7	1.12M	0.02
2016/3/29	130	129.28	130.09	129.2	1.05M	0.46
2016/3/28	129.41	129.16	129.47	128.97	427.32K	0.15
2016/3/24	129.22	129.27	129.47	128.97	749.24K	-0.09
2016/3/23	129.33	128.73	129.36	128.64	886.49K	0.41
2016/3/22	128.8	129.02	129.38	128.7	1.05M	-0.58
2016/3/21	129.55	129.89	129.91	129.52	19.45K	-0.24
2016/3/18	129.86	129.62	129.92	129.62	11.43K	0.23
2016/3/17	129.56	129.53	129.92	129.5	6.41K	0.2
2016/3/16	129.3	128.84	129.52	128.52	18.24K	0.34
2016/3/15	128.86	128.84	129.23	128.77	18.64K	-0.02
2016/3/14	128.88	128.83	129.05	128.72	5.90K	0.06
2016/3/11	128.8	129.06	129.14	128.66	7.75K	-0.2
